Trends in Number of COVID-19 Vaccinations in the US
Date generated: Tue Nov 30 2021 20:42:10 GMT-0600 (北美中部标准时间)
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated,People Receiving a Booster Dose,Total People Receiving a Booster Dose,7-Day Average Daily Count Booster
Report,2021-09-23,US,,,,,,,327988,683329,,,,N/A,N/A,N/A
Admin,2021-09-24,US,961885,326155,392809643,213768431,241044,630799,,,400040,184222014,305920,245864,3328458,93527
Report,2021-09-24,US,,,,,,,745405,653176,,,,N/A,N/A,N/A
Admin,2021-09-25,US,656581,209791,393466224,213978222,241809,651640,,,221763,184443777,299392,228415,3556873,119674
Report,2021-09-25,US,,,,,,,805580,637343,,,,N/A,N/A,N/A
Admin,2021-09-26,US,397490,123334,393863714,214101556,242496,665874,,,140430,184584207,296681,134138,3691011,135780
Report,2021-09-26,US,,,,,,,741639,646902,,,,N/A,N/A,N/A
Admin,2021-09-27,US,995764,309905,394859478,214411461,248929,712127,,,214358,184798565,278776,479483,4170494,192789
Report,2021-09-27,US,,,,,,,550595,632435,,,,N/A,N/A,N/A
Admin,2021-09-28,US,1094953,303171,395954431,214714632,254828,774114,,,293393,185091958,273327,506683,4677177,253227
Report,2021-09-28,US,,,,,,,487651,624537,,,,N/A,N/A,N/A
Admin,2021-09-29,US,1098258,299061,397052689,215013693,261139,837946,,,299895,185391853,269675,507966,5185143,314245
Report,2021-09-29,US,,,,,,,840088,642707,,,,N/A,N/A,N/A
Admin,2021-09-30,US,1118235,300757,398170924,215314450,267453,903309,,,305123,185696976,267857,520393,5705536,374706
Report,2021-09-30,US,,,,,,,917333,726899,,,,N/A,N/A,N/A
Admin,2021-10-01,US,1236371,325267,399407295,215639717,267327,942521,,,360000,186056976,262137,557534,6263070,419230
Report,2021-10-01,US,,,,,,,846871,741394,,,,N/A,N/A,N/A
Admin,2021-10-02,US,610368,179108,400017663,215818825,262943,935919,,,199563,186256539,258966,235401,6498471,420228
Report,2021-10-02,US,,,,,,,933417,759656,,,,N/A,N/A,N/A
Admin,2021-10-03,US,354988,109757,400372651,215928582,261004,929848,,,125490,186382029,256831,120285,6618756,418249
Report,2021-10-03,US,,,,,,,1244542,831500,,,,N/A,N/A,N/A
Admin,2021-10-04,US,945809,258626,401318460,216187208,253678,922711,,,244495,186626524,261137,448981,7067737,413892
Report,2021-10-04,US,,,,,,,984739,893520,,,,N/A,N/A,N/A
Admin,2021-10-05,US,980183,255705,402298643,216442913,246897,906316,,,246286,186872810,254407,485975,7553712,410934
Report,2021-10-05,US,,,,,,,798491,937926,,,,N/A,N/A,N/A
Admin,2021-10-06,US,987447,257878,403286090,216700791,241014,890485,,,247463,187120273,246917,489423,8043135,408285
Report,2021-10-06,US,,,,,,,957359,954679,,,,N/A,N/A,N/A
Admin,2021-10-07,US,962850,258273,404248940,216959064,234945,868288,,,242168,187362441,237923,470897,8514032,401214
Report,2021-10-07,US,,,,,,,877030,948921,,,,N/A,N/A,N/A
Admin,2021-10-08,US,1097810,294596,405346750,217253660,230563,848493,,,297572,187660013,229005,514910,9028942,395125
Report,2021-10-08,US,,,,,,,1116978,987508,,,,N/A,N/A,N/A
Admin,2021-10-09,US,519336,152602,405866086,217406262,226777,835489,,,162143,187822156,223659,208698,9237640,391310
Report,2021-10-09,US,,,,,,,1149818,1018422,,,,N/A,N/A,N/A
Admin,2021-10-10,US,302869,96173,406168955,217502435,224836,828043,,,100518,187922674,220092,107022,9344662,389415
Report,2021-10-10,US,,,,,,,768209,950375,,,,N/A,N/A,N/A
Admin,2021-10-11,US,821543,235308,406990498,217737743,221505,810291,,,212456,188135130,215515,382055,9726717,379854
Report,2021-10-11,US,,,,,,,486392,879182,,,,N/A,N/A,N/A
Admin,2021-10-12,US,886033,238962,407876531,217976705,219113,796841,,,223244,188358374,212223,431953,10158670,372137
Report,2021-10-12,US,,,,,,,502985,836967,,,,N/A,N/A,N/A
Admin,2021-10-13,US,862331,234640,408738862,218211345,215793,778967,,,218435,188576809,208076,418985,10577655,362074
Report,2021-10-13,US,,,,,,,794421,813690,,,,N/A,N/A,N/A
Admin,2021-10-14,US,870975,234661,409609837,218446006,212420,765842,,,217488,188794297,204550,428574,11006229,356028
Report,2021-10-14,US,,,,,,,1073311,841731,,,,N/A,N/A,N/A
Admin,2021-10-15,US,1000459,270437,410610296,218716443,208969,751935,,,265460,189059757,199963,475496,11481725,350398
Report,2021-10-15,US,,,,,,,1126317,843065,,,,N/A,N/A,N/A
Admin,2021-10-16,US,474645,145322,411084941,218861765,207929,745550,,,138616,189198373,196602,195329,11677054,348488
Report,2021-10-16,US,,,,,,,876086,803960,,,,N/A,N/A,N/A
Admin,2021-10-17,US,259992,86040,411344933,218947805,206481,739425,,,80902,189279275,193800,94065,11771119,346637
Report,2021-10-17,US,,,,,,,818998,811216,,,,N/A,N/A,N/A
Admin,2021-10-18,US,795217,230372,412140150,219178177,205776,735664,,,202525,189481800,192381,371816,12142935,345174
Report,2021-10-18,US,,,,,,,531983,817729,,,,N/A,N/A,N/A
Admin,2021-10-19,US,782795,209837,412922945,219388014,201616,720916,,,184990,189666790,186916,397493,12540428,340251
Report,2021-10-19,US,,,,,,,641045,837452,,,,N/A,N/A,N/A
Admin,2021-10-20,US,789838,209120,413712783,219597134,197970,710560,,,186371,189853161,182336,404809,12945237,338226
Report,2021-10-20,US,,,,,,,750750,831213,,,,N/A,N/A,N/A
Admin,2021-10-21,US,811198,214465,414523981,219811599,195085,702020,,,188183,190041344,178149,418506,13363743,336788
Report,2021-10-21,US,,,,,,,820913,795156,,,,N/A,N/A,N/A
Admin,2021-10-22,US,1311886,311112,415835867,220122711,200895,746510,,,235246,190276590,173833,775264,14139007,379612
Report,2021-10-22,US,,,,,,,952375,770307,,,,N/A,N/A,N/A
Admin,2021-10-23,US,798956,190856,416634823,220313567,207400,792840,,,129091,190405681,172472,483476,14622483,420776
Report,2021-10-23,US,,,,,,,893144,772744,,,,N/A,N/A,N/A
Admin,2021-10-24,US,455628,116708,417090451,220430275,211781,820788,,,77052,190482733,171922,263205,14885688,444938
Report,2021-10-24,US,,,,,,,789309,768503,,,,N/A,N/A,N/A
Admin,2021-10-25,US,1456130,328706,418546581,220758981,225829,915204,,,196231,190678964,171023,939375,15825063,526018
Report,2021-10-25,US,,,,,,,656714,786321,,,,N/A,N/A,N/A
Admin,2021-10-26,US,1484420,324059,420031001,221083040,242147,1015436,,,193078,190872042,172178,978227,16803290,608980
Report,2021-10-26,US,,,,,,,709834,796148,,,,N/A,N/A,N/A
Admin,2021-10-27,US,1538863,331142,421569864,221414182,259578,1122440,,,197969,191070011,173835,1021331,17824621,697055
Report,2021-10-27,US,,,,,,,1142398,852098,,,,N/A,N/A,N/A
Admin,2021-10-28,US,1521519,322564,423091383,221736746,275021,1223914,,,198894,191268905,175365,1013053,18837674,781990
Report,2021-10-28,US,,,,,,,1641113,969270,,,,N/A,N/A,N/A
Admin,2021-10-29,US,1691055,354978,424782438,222091724,281288,1278081,,,227385,191496290,174242,1121913,19959587,831511
Report,2021-10-29,US,,,,,,,1225216,1008247,,,,N/A,N/A,N/A
Admin,2021-10-30,US,782248,182049,425564686,222273773,280029,1275694,,,114741,191611031,172192,492991,20452578,832871
Report,2021-10-30,US,,,,,,,1636930,1114502,,,,N/A,N/A,N/A
Admin,2021-10-31,US,418178,109665,425982864,222383438,279023,1270344,,,67518,191678549,170830,244183,20696761,830153
Report,2021-10-31,US,,,,,,,1412416,1203517,,,,N/A,N/A,N/A
Admin,2021-11-01,US,1361265,310240,427344129,222693678,276385,1256792,,,185515,191864064,169300,878189,21574950,821412
Report,2021-11-01,US,,,,,,,935285,1243313,,,,N/A,N/A,N/A
Admin,2021-11-02,US,1419771,311192,428763900,223004870,274547,1247557,,,179685,192043749,167386,942048,22516998,816244
Report,2021-11-02,US,,,,,,,937410,1275824,,,,N/A,N/A,N/A
Admin,2021-11-03,US,1468592,333574,430232492,223338444,274895,1237518,,,182704,192226453,165206,966756,23483754,808448
Report,2021-11-03,US,,,,,,,1330034,1302629,,,,N/A,N/A,N/A
Admin,2021-11-04,US,1530168,364057,431762660,223702501,280822,1238753,,,183067,192409520,162945,995583,24479337,805952
Report,2021-11-04,US,,,,,,,1455264,1276079,,,,N/A,N/A,N/A
Admin,2021-11-05,US,1785967,464795,433548627,224167296,296510,1252312,,,218282,192627802,161644,1118602,25597939,805479
Report,2021-11-05,US,,,,,,,1278448,1283684,,,,N/A,N/A,N/A
Admin,2021-11-06,US,966342,378492,434514969,224545788,324574,1278611,,,112450,192740252,161317,482501,26080440,803980
Report,2021-11-06,US,,,,,,,1435968,1254975,,,,N/A,N/A,N/A
Admin,2021-11-07,US,517074,220131,435032043,224765919,340354,1292739,,,67118,192807370,161260,234529,26314969,802601
Report,2021-11-07,US,,,,,,,1485116,1265361,,,,N/A,N/A,N/A
Admin,2021-11-08,US,1358360,466459,436390403,225232378,362671,1292324,,,164256,192971626,158223,740598,27055567,782945
Report,2021-11-08,US,,,,,,,1184236,1300925,,,,N/A,N/A,N/A
Admin,2021-11-09,US,1520562,519397,437910965,225751775,392415,1306723,,,157898,193129524,155110,854519,27910086,770441
Report,2021-11-09,US,,,,,,,1044533,1316228,,,,N/A,N/A,N/A
Admin,2021-11-10,US,1629119,565343,439540084,226317118,425525,1329656,,,160505,193290029,151939,914478,28824564,762973
Report,2021-11-10,US,,,,,,,1330496,1316294,,,,N/A,N/A,N/A
Admin,2021-11-11,US,1474864,541744,441014948,226858862,450909,1321755,,,144316,193434345,146403,799358,29623922,734941
Report,2021-11-11,US,,,,,,,1512608,1324486,,,,N/A,N/A,N/A
Admin,2021-11-12,US,1843253,632112,442858201,227490974,474811,1329939,,,188460,193622805,142143,1036093,30660015,723154
Report,2021-11-12,US,,,,,,,1352503,1335066,,,,N/A,N/A,N/A
Admin,2021-11-13,US,1097216,517986,443955417,228008960,494739,1348635,,,97597,193720402,140021,487192,31147207,723824
Report,2021-11-13,US,,,,,,,1682461,1370279,,,,N/A,N/A,N/A
Admin,2021-11-14,US,549111,237873,444504528,228246833,497273,1353212,,,58026,193778428,138722,256562,31403769,726971
Report,2021-11-14,US,,,,,,,1525152,1375998,,,,N/A,N/A,N/A
Admin,2021-11-15,US,1442758,461520,445947286,228708353,496568,1365269,,,156627,193935055,137632,835932,32239701,740591
Report,2021-11-15,US,,,,,,,1445647,1413343,,,,N/A,N/A,N/A
Admin,2021-11-16,US,1546772,483567,447494058,229191920,491449,1369013,,,155472,194090527,137286,920024,33159725,749948
Report,2021-11-16,US,,,,,,,1368939,1459687,,,,N/A,N/A,N/A
Admin,2021-11-17,US,1602602,495245,449096660,229687165,481435,1365225,,,158855,194249382,137050,961090,34120815,756607
Report,2021-11-17,US,,,,,,,1414987,1471757,,,,N/A,N/A,N/A
Admin,2021-11-18,US,1616050,490518,450712710,230177683,474117,1385394,,,157242,194406624,138897,980845,35101660,782534
Report,2021-11-18,US,,,,,,,1461156,1464406,,,,N/A,N/A,N/A
Admin,2021-11-19,US,1868923,561594,452581633,230739277,464043,1389061,,,179147,194585771,137566,1141285,36242945,797561
Report,2021-11-19,US,,,,,,,1905564,1543415,,,,N/A,N/A,N/A
Admin,2021-11-20,US,1112731,432692,453694364,231171969,451858,1391278,,,92442,194678213,136830,593704,36836649,812777
Report,2021-11-20,US,,,,,,,1799682,1560161,,,,N/A,N/A,N/A
Admin,2021-11-21,US,582837,195001,454277201,231366970,445734,1396096,,,55704,194733917,136498,336196,37172845,824154
Report,2021-11-21,US,,,,,,,1498246,1556317,,,,N/A,N/A,N/A
Admin,2021-11-22,US,1615032,450001,455892233,231816971,444088,1420706,,,156780,194890697,136520,1019532,38192377,850382
Report,2021-11-22,US,,,,,,,1204133,1521815,,,,N/A,N/A,N/A
Admin,2021-11-23,US,1562667,444195,457454900,232261166,438464,1422977,,,147646,195038343,135402,982951,39175328,859372
Report,2021-11-23,US,,,,,,,47015,1332969,,,,N/A,N/A,N/A
Admin,2021-11-24,US,1204194,365476,458659094,232626642,419925,1366062,,,133044,195171387,131715,715829,39891157,824335
Report,2021-11-24,US,,,,,,,1742755,1379793,,,,N/A,N/A,N/A
Admin,2021-11-25,US,20151,6582,458679245,232633224,350792,1138076,,,3707,195175094,109781,10289,39901446,685684
Report,2021-11-25,US,,,,,,,0,1171056,,,,N/A,N/A,N/A
Admin,2021-11-26,US,1003625,274598,459682870,232907822,309792,1014462,,,143195,195318289,104645,592964,40494410,607352
Report,2021-11-26,US,,,,,,,0,898833,,,,N/A,N/A,N/A
Admin,2021-11-27,US,707043,190731,460389913,233098553,275226,956507,,,152057,195470346,113161,368683,40863093,575206
Report,2021-11-27,US,,,,,,,0,641736,,,,N/A,N/A,N/A
Admin,2021-11-28,US,267903,79223,460657816,233177776,258687,911516,,,63833,195534179,114323,126790,40989883,545291
Report,2021-11-28,US,,,,,,,0,427700,,,,N/A,N/A,N/A
Admin,2021-11-29,US,115692,29806,460773508,233207582,198659,697325,,,21672,195555851,95022,63839,41053722,408764
Report,2021-11-29,US,,,,,,,4787054,939546,,,,N/A,N/A,N/A
Admin,2021-11-30,US,0,0,460773508,233207582,135202,474086,,,0,195555851,73929,0,41053722,268342
Report,2021-11-30,US,,,,,,,1538717,1152647,,,,N/A,N/A,N/A
